id,num_adults,num_children,num_senior,num_under3
61676,1,0,0,0
61687,2,1,0,1
61688,1,0,0,0
61689,1,2,0,0
61691,1,0,0,0
61692,0,0,1,0
61696,1,0,0,0
61697,1,2,0,0
61698,1,0,0,0
61700,0,0,1,0
61701,1,1,0,0
61704,2,1,0,1
61706,1,2,0,0
61709,1,0,0,0
61712,1,0,0,0
61713,0,0,1,0
61714,0,1,0,0
61720,1,0,0,0
61721,1,0,0,0
61723,1,0,0,0
61730,1,0,0,0
61731,1,0,0,0
61732,1,0,0,0
61768,1,0,0,0
61769,1,1,0,0
61770,1,0,0,0
61808,1,0,0,0
61809,0,0,1,0
61810,0,0,1,0
61811,0,0,1,0
61820,1,0,0,0
61830,1,0,0,0
61832,1,0,0,0
61833,0,1,0,0
61836,0,1,0,0
61837,0,2,0,0
61838,0,1,0,0
61839,1,0,0,0
61848,1,0,0,0
61858,0,1,0,0
61859,1,0,0,0
61862,0,0,1,0
61867,0,0,1,0
61870,0,0,1,0
61922,0,0,1,0
61925,1,0,0,0
61926,1,0,0,0
61930,1,0,0,0
61932,1,0,0,0
61939,1,0,0,0
61940,1,0,0,0
61941,0,0,1,0
61942,0,0,1,0
61945,0,0,1,0
61956,1,0,0,0
61958,1,0,0,0
61969,1,0,0,0
61970,1,0,0,0
61971,1,0,0,0
61973,1,0,0,0
61976,1,0,0,0
61980,1,0,0,0
61984,1,0,0,0
61990,1,0,0,0
61991,1,0,0,0
62015,0,0,2,0
62038,1,0,0,0
62049,0,1,0,0
62052,1,0,0,0
62053,1,0,0,0
62056,1,0,0,0
62057,1,0,0,0
62058,1,0,0,0
62059,0,0,1,0
62060,1,0,0,0
62063,0,0,1,0
62067,0,0,1,0
62082,1,1,0,0
62088,1,1,0,0
62095,2,2,0,0
62098,0,0,1,0
62104,1,2,0,0
62106,1,0,0,0
62107,0,2,0,0
62121,1,0,0,0
62122,1,2,0,0
62123,1,0,0,0
62125,1,0,0,0
62126,1,0,0,0
62128,1,0,0,0
62129,0,0,1,0
62131,1,2,0,0
62132,1,1,0,0
62133,0,0,1,0
62134,0,0,1,0
62135,0,0,1,0
62136,0,0,1,0
62137,1,0,0,0
62138,1,0,0,0
62140,1,0,0,0
62142,1,0,0,0
62143,0,1,0,0
62144,1,0,0,0
62145,1,0,0,0
62148,1,0,0,0
62174,1,0,0,0
62182,1,0,0,0
62194,1,1,0,0
62195,1,0,0,0
62197,1,0,0,0
62199,1,0,0,0
62200,1,0,0,0
62201,1,0,0,0
62202,0,1,0,0
62206,1,0,0,0
62208,1,0,0,0
62218,1,0,0,0
62219,0,1,0,0
62229,0,0,1,0
62245,1,0,0,0
62246,1,0,0,0
62252,1,0,0,0
62264,1,0,0,0
62267,1,0,0,0
62270,1,0,0,0
62269,1,0,0,0
62276,1,0,0,0
62279,0,0,1,0
62283,1,0,0,0
62284,1,0,0,0
62287,0,0,1,0
62307,1,0,0,0
62310,1,0,0,0
62318,1,0,0,0
62321,1,0,0,0
62323,1,0,0,0
62324,1,0,0,0
62331,1,0,0,0
62334,2,0,0,0
62335,0,0,1,0
62336,0,0,1,0
62354,1,0,0,0
62365,1,0,0,0
62366,1,0,0,0
62380,0,0,1,0
62385,1,0,0,0
62386,0,1,0,0
62387,1,0,0,0
62388,1,0,0,0
62405,0,0,2,0
62413,0,0,1,0
62418,1,0,0,1
62432,1,2,0,0
62438,2,0,0,0
62460,1,0,0,0
62464,1,0,0,0
62470,1,1,0,0
62472,0,0,1,0
62473,0,0,1,0
62474,0,0,1,0
62475,0,2,0,0
62476,1,0,0,0
62488,0,0,1,0
62502,0,1,0,0
62507,1,0,0,0
62518,1,0,0,0
62519,1,0,0,0
62527,0,0,1,0
62530,1,0,0,0
62537,1,0,0,0
62538,1,0,0,0
62539,1,0,0,0
62540,0,2,0,0
62543,0,4,0,0
62544,0,4,0,0
62545,1,0,0,0
62546,1,0,0,0
62548,0,1,0,0
62549,1,0,0,0
62550,1,0,0,0
62552,1,0,0,0
62553,0,1,0,0
62554,0,0,1,0
62555,1,0,0,0
62556,0,0,1,0
62560,0,0,1,0
62586,1,0,0,0
62588,1,0,0,0
62599,0,0,1,0
62604,1,0,0,0
62612,1,0,0,0
62624,0,0,1,0
62625,1,0,0,0
62627,1,0,0,0
62628,1,0,0,0
62629,1,1,0,0
62642,1,0,0,0
62643,1,0,0,0
62646,1,0,0,0
62647,1,0,0,0
62721,2,1,0,1
62713,1,0,0,0
62714,0,0,1,0
62715,0,1,0,0
62718,1,0,0,0
62719,1,0,0,0
62720,1,0,0,0
62722,1,0,0,0
62723,1,0,0,0
62724,0,0,1,0
62730,1,1,0,0
62738,0,0,1,0
62748,1,0,0,0
62749,1,2,0,0
62750,1,0,0,0
62751,0,0,1,0
62753,1,0,0,0
62755,0,0,1,0
62756,0,0,1,0
62758,0,0,1,0
62759,1,1,0,0
62760,1,0,0,0
62761,0,0,1,0
62762,0,1,0,0
62763,1,0,0,0
62764,1,0,0,0
62765,1,0,0,0
62766,1,0,0,0
62767,1,0,0,0
62768,1,0,0,0
62769,0,0,1,0
62770,1,0,0,0
62785,1,0,0,0
62786,1,0,0,0
62787,0,0,1,0
62788,0,2,0,0
62789,0,2,0,0
62790,1,0,0,0
62791,0,1,0,0
62792,1,0,0,0
62793,1,0,0,0
62794,1,0,0,0
62795,1,0,0,0
62796,0,1,0,0
62797,1,0,0,0
62798,0,0,1,0
62799,1,0,0,0
62801,1,0,0,0
62802,1,0,0,0
62803,1,0,0,0
62804,1,0,0,0
62805,1,0,0,0
62806,1,0,0,0
62807,1,0,0,0
62809,1,0,0,0
62810,1,0,0,0
62811,0,0,1,0
62812,1,0,0,0
62813,1,0,0,0
62814,1,0,0,0
62815,1,0,0,0
62817,1,0,0,0
62819,1,0,0,0
62821,1,0,0,0
62822,0,0,1,0
62823,0,0,1,0
62824,1,0,0,0
62826,1,0,0,0
62828,1,0,0,0
62830,1,0,0,0
62831,1,0,0,0
62832,1,0,0,0
62833,2,1,0,1
62834,2,0,0,1
62835,1,0,0,0
62837,0,1,0,0
62838,1,1,0,0
62839,1,0,0,0
62840,2,1,0,1
62841,1,2,0,0
62842,1,0,0,0
62843,1,0,0,0
62844,1,3,0,0
