id,user_id,product_id,booking,stripe_id
61676,8621,40,2023-11-26,61676
61687,12284,41,2023-11-26,61687
61688,13037,40,2023-11-26,61688
61689,12503,41,2023-11-26,61689
61691,11535,40,2023-11-26,61691
61692,6418,40,2023-11-26,61692
61696,11848,40,2023-11-26,61696
61697,7423,42,2023-11-26,61697
61698,8427,5,2023-11-27,61698
61700,6138,42,2023-11-26,61700
61701,12037,43,2023-11-26,61701
61704,8673,43,2023-11-26,61704
61706,12382,43,2023-11-26,61706
61709,7169,5,2023-11-27,61709
61712,13007,5,2023-11-27,61712
61713,6130,7,2023-11-27,61713
61714,13040,5,2023-11-27,61714
61720,6141,62,2023-11-28,61720
61721,6908,5,2023-11-27,61721
61723,6471,5,2023-11-27,61723
61730,6435,5,2023-11-27,61730
61731,6181,5,2023-11-27,61731
61732,11535,5,2023-11-27,61732
61768,6420,10,2023-11-27,61768
61769,6571,71,2023-11-27,61769
61770,9218,62,2023-11-28,61770
61808,4001,10,2023-11-27,61808
61809,6121,62,2023-11-28,61809
61810,6121,22,2023-11-30,61810
61811,6121,28,2023-12-01,61811
61820,8621,71,2023-11-27,61820
61830,7516,71,2023-11-27,61830
61832,6159,10,2023-11-27,61832
61833,12829,71,2023-11-27,61833
61836,4794,71,2023-11-27,61836
61837,4663,71,2023-11-27,61837
61838,11582,71,2023-11-27,61838
61839,10404,62,2023-11-28,61839
61848,13007,62,2023-11-28,61848
61858,13040,62,2023-11-28,61858
61859,5515,62,2023-11-28,61859
61862,9883,44,2023-11-28,61862
61867,6570,44,2023-11-28,61867
61870,7808,44,2023-11-28,61870
61922,7035,28,2023-12-01,61922
61925,6731,45,2023-11-28,61925
61926,9641,45,2023-11-28,61926
61930,7425,45,2023-11-28,61930
61932,7136,45,2023-11-28,61932
61939,12820,45,2023-11-28,61939
61940,6125,45,2023-11-28,61940
61941,6206,18,2023-11-29,61941
61942,6206,31,2023-12-01,61942
61945,6130,18,2023-11-29,61945
61956,5515,82,2023-11-29,61956
61958,6181,82,2023-11-29,61958
61969,6908,22,2023-11-30,61969
61970,6159,20,2023-11-29,61970
61971,4001,20,2023-11-29,61971
61973,6448,22,2023-11-30,61973
61976,6141,22,2023-11-30,61976
61980,6522,20,2023-11-29,61980
61984,13007,22,2023-11-30,61984
61990,6471,22,2023-11-30,61990
61991,13079,40,2023-12-03,61991
62015,12961,18,2023-12-06,62015
62038,9525,29,2023-12-01,62038
62049,13040,28,2023-12-01,62049
62052,8621,28,2023-12-01,62052
62053,13007,28,2023-12-01,62053
62056,6435,28,2023-12-01,62056
62057,6908,28,2023-12-01,62057
62058,6413,28,2023-12-01,62058
62059,7035,5,2023-12-04,62059
