"user_id","meta_value"
5177,"a:1:{s:8:""guardian"";b:1;}"
6939,"a:1:{s:8:""customer"";b:1;}"
5584,"a:1:{s:8:""guardian"";b:1;}"
2557,"a:1:{s:8:""guardian"";b:1;}"
2555,"a:1:{s:8:""guardian"";b:1;}"
2556,"a:1:{s:8:""guardian"";b:1;}"
3946,"a:2:{s:8:""guardian"";b:1;s:12:""bishopgalvin"";b:1;}"
2379,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2378,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2351,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2350,"a:2:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;}"
2376,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2359,"a:3:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:11:""instructors"";b:1;}"
2358,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2362,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2386,"a:3:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:11:""instructors"";b:1;}"
2372,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2360,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
22,"a:3:{s:6:""editor"";b:1;s:9:""sh4_admin"";b:1;s:8:""guardian"";b:1;}"
23,"a:7:{s:18:""pool_administrator"";b:1;s:13:""administrator"";b:1;s:12:""bishopgalvin"";b:1;s:6:""editor"";b:1;s:8:""guardian"";b:1;s:12:""pool_manager"";b:1;s:4:""zion"";b:1;}"
2383,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2381,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2374,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2370,"a:10:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:6:""editor"";b:1;s:8:""guardian"";b:1;s:13:""administrator"";b:1;s:12:""bishopgalvin"";b:1;s:4:""zion"";b:1;s:18:""pool_administrator"";b:1;s:12:""pool_manager"";b:1;s:12:""shop_manager"";b:1;}"
2369,"a:1:{s:11:""bbp_blocked"";b:1;}"
2356,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2353,"a:2:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;}"
2348,"a:3:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:8:""customer"";b:1;}"
2384,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2364,"a:2:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;}"
2363,"a:2:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;}"
2375,"a:3:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:8:""customer"";b:1;}"
2368,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2366,"a:3:{s:10:""instructor"";b:1;s:8:""customer"";b:1;s:11:""instructors"";b:1;}"
2361,"a:2:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;}"
2355,"a:9:{s:10:""instructor"";b:1;s:11:""desk_duties"";b:1;s:6:""editor"";b:1;s:13:""administrator"";b:1;s:8:""guardian"";b:1;s:12:""bishopgalvin"";b:1;s:12:""pool_manager"";b:1;s:4:""zion"";b:1;s:18:""pool_administrator"";b:1;}"
2354,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2352,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2349,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2365,"a:2:{s:8:""ex-staff"";b:1;s:11:""bbp_blocked"";b:1;}"
2380,"a:4:{s:8:""ex-staff"";b:1;s:8:""customer"";b:1;s:8:""guardian"";b:1;s:12:""bishopgalvin"";b:1;}"
2373,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
2357,"a:2:{s:10:""instructor"";b:1;s:11:""bbp_blocked"";b:1;}"
3990,"a:1:{s:8:""guardian"";b:1;}"
3856,"a:1:{s:8:""guardian"";b:1;}"
3639,"a:1:{s:8:""guardian"";b:1;}"
2975,"a:1:{s:8:""guardian"";b:1;}"
2798,"a:1:{s:8:""guardian"";b:1;}"
3935,"a:1:{s:8:""guardian"";b:1;}"
3875,"a:1:{s:8:""guardian"";b:1;}"
3769,"a:1:{s:8:""guardian"";b:1;}"
3703,"a:1:{s:8:""guardian"";b:1;}"
3562,"a:1:{s:8:""guardian"";b:1;}"
3490,"a:1:{s:8:""guardian"";b:1;}"
3011,"a:1:{s:8:""guardian"";b:1;}"
3228,"a:1:{s:8:""guardian"";b:1;}"
3087,"a:1:{s:8:""guardian"";b:1;}"
2899,"a:1:{s:8:""guardian"";b:1;}"
3447,"a:1:{s:8:""guardian"";b:1;}"
2633,"a:1:{s:8:""guardian"";b:1;}"
2901,"a:1:{s:8:""guardian"";b:1;}"
2833,"a:1:{s:8:""guardian"";b:1;}"
3446,"a:1:{s:8:""guardian"";b:1;}"
2575,"a:1:{s:8:""guardian"";b:1;}"
