start_date,finish_date,rebook_start,booking_switch_date,assesments_complete
2010-10-01,2010-12-31,2000-01-01,2000-01-01,2000-01-01
2011-01-01,2011-03-31,2000-01-01,2000-01-01,2000-01-01
2011-04-01,2011-06-30,2000-01-01,2000-01-01,2000-01-01
2011-07-01,2011-09-30,2000-01-01,2000-01-01,2000-01-01
2011-10-01,2011-12-31,2000-01-01,2000-01-01,2000-01-01
2012-01-01,2012-03-31,2000-01-01,2000-01-01,2000-01-01
2012-04-01,2012-06-30,2000-01-01,2000-01-01,2000-01-01
2012-07-01,2012-09-30,2000-01-01,2000-01-01,2000-01-01
2012-10-01,2012-12-31,2000-01-01,2000-01-01,2000-01-01
2013-01-01,2013-03-31,2000-01-01,2000-01-01,2000-01-01
2013-04-01,2013-06-30,2000-01-01,2000-01-01,2000-01-01
2013-07-01,2013-09-30,2000-01-01,2000-01-01,2000-01-01
2013-10-01,2013-12-31,2000-01-01,2000-01-01,2000-01-01
2014-01-01,2014-03-31,2000-01-01,2000-01-01,2000-01-01
2014-04-01,2014-06-30,2000-01-01,2000-01-01,2000-01-01
2014-07-01,2014-09-30,2000-01-01,2000-01-01,2000-01-01
2014-10-01,2014-12-31,2000-01-01,2000-01-01,2000-01-01
2015-01-01,2015-03-31,2000-01-01,2000-01-01,2000-01-01
2015-04-01,2015-06-30,2000-01-01,2000-01-01,2000-01-01
2015-07-01,2015-09-30,2000-01-01,2000-01-01,2000-01-01
2015-10-01,2015-12-31,2000-01-01,2000-01-01,2000-01-01
2016-01-01,2016-03-31,2000-01-01,2000-01-01,2000-01-01
2016-04-01,2016-06-30,2016-05-24,2016-08-29,0000-00-00
2016-07-01,2016-09-30,2016-08-29,2016-09-19,0000-00-00
2016-10-01,2017-01-02,2016-11-28,2016-12-19,2016-08-30
2017-01-03,2017-03-31,2017-02-27,2017-03-20,2017-02-26
2017-04-01,2017-06-30,2017-05-29,2017-06-19,2017-05-28
2017-07-01,2017-09-30,2017-08-28,2017-09-18,2017-08-27
2017-10-01,2017-12-31,2017-11-27,2017-12-18,2017-11-27
2018-01-01,2018-03-31,2018-02-25,2018-03-26,2018-02-25
2018-04-01,2018-06-30,2018-05-28,2018-06-18,2018-05-28
2018-07-01,2018-09-30,2018-08-27,2018-09-17,2018-08-27
2018-10-01,2018-12-31,2018-11-26,2018-12-17,2018-11-26
2019-01-01,2019-03-31,2019-02-25,2019-03-18,2019-02-25
2019-04-01,2019-06-30,2019-05-27,2019-06-17,2019-05-27
2019-07-01,2019-09-30,2019-08-26,2019-09-16,2019-08-26
2019-10-01,2019-12-31,2019-11-25,2019-12-31,2019-11-25
2020-01-01,2020-03-31,2020-02-24,2020-03-31,2020-02-24
2020-04-01,2020-09-30,2020-09-01,2020-09-22,2020-03-22
2021-06-14,2021-09-22,2021-08-12,2021-09-08,2021-08-09
2021-09-23,2021-12-22,2021-11-22,2021-12-14,2021-11-29
2022-01-04,2022-03-31,2022-02-21,2022-03-15,2022-02-27
2022-04-01,2022-06-30,2022-05-22,2022-06-15,2022-07-30
2022-07-01,2022-09-30,2022-08-29,2022-09-22,2022-08-29
2022-10-01,2022-12-31,2022-11-21,2022-12-14,2022-11-20
2023-01-01,2023-03-31,2023-02-20,2023-03-16,2023-02-20
2023-04-01,2023-06-30,2023-06-12,2023-06-14,2023-05-29
2023-07-01,2023-09-30,2023-08-21,2023-09-14,2023-08-28
2023-10-01,2023-12-22,2023-11-20,2023-12-14,2023-11-27
2024-01-06,2024-03-31,2024-02-19,2024-03-15,2024-02-26
