"id","user_id","student_id","session_id","term_id","wc_order_id","booking_date","order_status","order_type","paid","completed","assesment_comment","assesment_id","order_reviewed","assesment_complete","rank"
80480,13991,8836,3502,1036,78484,"2025-08-18 08:43:50","completed","sco_booking",1,NULL,NULL,1,0,0,1
80589,11597,7545,3502,1036,78546,"2025-08-18 10:13:16","completed","sco_booking",1,NULL,NULL,1,0,0,1
80731,5457,6219,3320,1036,78634,"2025-08-18 12:46:07","completed","sco_booking",1,NULL,NULL,1,0,0,1
80804,13989,8833,3050,1036,78690,"2025-08-18 17:33:56","completed","sco_booking",1,NULL,NULL,1,0,0,1
80908,6960,7917,3082,1036,78746,"2025-08-19 10:22:45","completed","sco_booking",1,NULL,NULL,1,0,0,1
80909,6960,8608,3050,1036,78747,"2025-08-19 10:26:01","completed","sco_booking",1,NULL,NULL,1,0,0,1
81050,11717,7681,3288,1036,78842,"2025-08-21 00:13:42","completed","sco_booking",1,NULL,NULL,1,0,0,1
81071,12802,8162,3082,1036,78856,"2025-08-21 11:54:01","completed","sco_booking",1,NULL,NULL,1,0,0,1
81116,7043,7236,3320,1036,78887,"2025-08-22 10:01:33","completed","sco_booking",1,NULL,NULL,1,0,0,1
81117,7043,7590,3502,1036,78888,"2025-08-22 10:04:00","completed","sco_booking",1,NULL,NULL,1,0,0,1
81482,11918,7809,3217,1036,79093,"2025-08-25 16:55:40","completed","sco_booking",1,NULL,NULL,1,0,0,1
81522,10691,7232,3320,1036,79117,"2025-08-26 15:01:12","completed","sco_booking",1,NULL,NULL,1,0,0,1
81523,10691,7233,3320,1036,79118,"2025-08-26 15:04:59","completed","sco_booking",1,NULL,NULL,1,0,0,1
81605,8919,6422,3288,1036,79163,"2025-08-27 21:06:10","completed","sco_booking",1,NULL,NULL,1,0,0,1
81606,8919,6423,3288,1036,79164,"2025-08-27 21:07:44","completed","sco_booking",1,NULL,NULL,1,0,0,1
81632,11348,8838,3050,1036,79177,"2025-08-28 10:11:21","completed","sco_booking",1,NULL,NULL,1,0,0,1
81647,10538,7646,3320,1036,79190,"2025-08-28 12:33:52","completed","sco_booking",1,NULL,NULL,1,0,0,1
81648,10538,7880,3115,1036,79191,"2025-08-28 12:35:32","completed","sco_booking",1,NULL,NULL,1,0,0,1
