"legacy_booking_id","swimling_id","lesson_id","term_id","created","legacy_order_id"
80480,8836,3502,1036,"2025-08-18 08:43:50",78484
80589,7545,3502,1036,"2025-08-18 10:13:16",78546
80731,6219,3320,1036,"2025-08-18 12:46:07",78634
80804,8833,3050,1036,"2025-08-18 17:33:56",78690
80908,7917,3082,1036,"2025-08-19 10:22:45",78746
80909,8608,3050,1036,"2025-08-19 10:26:01",78747
81050,7681,3288,1036,"2025-08-21 00:13:42",78842
81071,8162,3082,1036,"2025-08-21 11:54:01",78856
81116,7236,3320,1036,"2025-08-22 10:01:33",78887
81117,7590,3502,1036,"2025-08-22 10:04:00",78888
81482,7809,3217,1036,"2025-08-25 16:55:40",79093
81522,7232,3320,1036,"2025-08-26 15:01:12",79117
81523,7233,3320,1036,"2025-08-26 15:04:59",79118
81605,6422,3288,1036,"2025-08-27 21:06:10",79163
81606,6423,3288,1036,"2025-08-27 21:07:44",79164
81632,8838,3050,1036,"2025-08-28 10:11:21",79177
81647,7646,3320,1036,"2025-08-28 12:33:52",79190
81648,7880,3115,1036,"2025-08-28 12:35:32",79191
81650,9181,3050,1036,"2025-08-28 13:20:32",79192
81651,8859,3502,1036,"2025-08-28 13:22:02",79193
81652,8287,3503,1036,"2025-08-28 13:24:03",79194
81710,6799,3320,1036,"2025-08-29 09:21:15",79223
81711,8174,3502,1036,"2025-08-29 09:22:53",79224
81801,8555,3503,1036,"2025-08-30 08:29:43",79278
81836,6790,3320,1036,"2025-08-31 13:25:57",79301
81837,6791,3320,1036,"2025-08-31 13:27:38",79302
81839,7022,3082,1036,"2025-08-31 14:23:33",79304
81841,7023,3082,1036,"2025-08-31 14:28:07",79306
81860,9246,3050,1036,"2025-08-31 17:16:32",79314
81904,6812,3288,1036,"2025-09-01 10:43:26",79342
81907,7729,3082,1036,"2025-09-01 10:47:57",79344
81922,6522,3511,1037,"2025-09-01 11:08:32",79353
81923,6523,3508,1037,"2025-09-01 11:09:05",79354
81928,9247,3506,1037,"2025-09-01 11:20:29",79356
81929,8826,3507,1037,"2025-09-01 11:21:52",79357
81939,6519,3511,1037,"2025-09-01 12:08:16",79362
81967,8208,3507,1037,"2025-09-01 14:49:00",79383
82027,8210,3506,1037,"2025-09-02 09:06:33",79424
82032,7743,3082,1036,"2025-09-02 09:24:41",79426
82033,6813,3288,1036,"2025-09-02 09:26:51",79427
82065,8225,3115,1036,"2025-09-02 16:58:04",79454
82102,7525,3508,1037,"2025-09-02 23:20:47",79477
82110,8181,3507,1037,"2025-09-03 09:51:19",79483
82111,6515,3511,1037,"2025-09-03 09:52:20",79484
82112,7523,3507,1037,"2025-09-03 09:53:59",79485
82113,6504,3507,1037,"2025-09-03 09:55:47",79486
82114,7682,3288,1036,"2025-09-03 10:04:38",79488
82115,6984,3511,1037,"2025-09-03 10:04:54",79487
82116,7527,3508,1037,"2025-09-03 10:05:49",79489
82117,7528,3508,1037,"2025-09-03 10:06:32",79490
82118,8758,3050,1036,"2025-09-03 10:08:25",79491
82119,6542,3511,1037,"2025-09-03 10:12:07",79492
82121,6517,3511,1037,"2025-09-03 11:55:18",79494
82123,7522,3507,1037,"2025-09-03 11:59:01",79496
82128,6797,3288,1036,"2025-09-03 12:45:39",79500
82160,6503,3511,1037,"2025-09-03 22:33:55",79528
82162,7532,3507,1037,"2025-09-03 22:47:28",79530
82163,8798,3506,1037,"2025-09-03 22:49:06",79531
82264,8290,3507,1037,"2025-09-05 14:09:28",79589
82265,9262,3506,1037,"2025-09-05 14:14:59",79590
82306,6520,3511,1037,"2025-09-06 09:47:40",79613
82312,8863,3018,1036,"2025-09-06 12:00:04",79620
82313,8862,3502,1036,"2025-09-06 12:00:47",79621
82319,8424,3503,1036,"2025-09-06 13:38:10",79623
82320,8425,3503,1036,"2025-09-06 13:41:20",79624
82336,7736,3185,1036,"2025-09-06 15:00:16",79635
82426,8212,3506,1037,"2025-09-07 23:06:27",79705
82427,6528,3508,1037,"2025-09-07 23:07:24",79706
82428,9270,3506,1037,"2025-09-07 23:08:22",79707
82444,9272,3506,1037,"2025-09-08 09:09:37",79718
82449,8802,3511,1037,"2025-09-08 14:49:13",79727
82453,9271,3506,1037,"2025-09-08 17:04:01",79735
82461,9252,3506,1037,"2025-09-09 11:50:44",79756
82487,9300,3506,1037,"2025-09-10 07:40:15",79786
82493,8747,3506,1037,"2025-09-10 13:10:49",79789
82494,7521,3508,1037,"2025-09-10 13:14:06",79790
82496,9069,3506,1037,"2025-09-10 15:17:52",79792
82513,8785,3511,1037,"2025-09-12 13:02:00",79816
